Nombre,Título,Fecha,Rating,Reviews,Tipo
Prudencia,Muy especial experiencia !,Fecha de la visita: noviembre de 2020,40,"Esta especial experiencia gastronómica a sido una sorpresa, tanto por la dedicación en la creación de sus deliciosos platos como por la filosofía de armonía con la naturaleza y el entorno que aplican sus dueños !","Contemporánea, Saludable"
Prudencia,Súper restaurante en un área que hay que visitar,Fecha de la visita: junio de 2019,50,"Me encantó ir a comer a este restaurante, me gustó mucho por dentro, y la comida de 10, es un área que hay que visitar en Bogotá","Contemporánea, Saludable"
Prudencia,Espectacular! La comida es,Fecha de la visita: febrero de 2020,50,"Espectacular! La comida es muy rica, muy bien presentada. Son sabores auténticos colombianos muy bien presentados. El servicio es muy bueno.","Contemporánea, Saludable"
Prudencia,El mejor,Fecha de la visita: febrero de 2020,50,"Excelente carta, sabores equilibrados, ingredientes diferentes. Atención si igual. Sin dudarlo el mejor","Contemporánea, Saludable"
Prudencia,Me encanto!,Fecha de la visita: noviembre de 2019,50,Me habían recomendado ir a este lugar. Definitivamente es un lugar para visitar cuando vayan al centro histórico de la ciudad. El servicio y el lugar son muy especiales y la comida campesina que hacen lo es aun mas.,"Contemporánea, Saludable"
Prudencia,Un lugar unico,Fecha de la visita: noviembre de 2019,50,"Para los amantes a la buena comida, la tranquilidad, al buen gusto en decoración, este es el lugar indicado. Productos locales frescos, servicio atento en español e inglés. Los precios no son baratos pero se ajustan a la calidad del servicio prestado.","Contemporánea, Saludable"
Prudencia,Maravilloso lugar.,Fecha de la visita: noviembre de 2019,50,"Es un lugar hermoso. Han restaurado una casa y es una gran labor. Me encanta el concepto de un menu cerrado, pues es muy sencillo y se nota que todo lo hacen con mucho amor. Felicitaciones al equipo.","Contemporánea, Saludable"
Prudencia,Me encanta este sitio.,Fecha de la visita: octubre de 2019,50,"Ademas de estar ubicados justo en el centro del barrio La Candelaria, tienen un facil acceso desde el resto de la ciudad. El lugar es bellisimo y tienen una comida sencilla pero excelentemente tratada y ejecutada. Me encanto todas las opciones vegetaranas que probe.","Contemporánea, Saludable"
Prudencia,Gran sorpresa !,Fecha de la visita: octubre de 2019,50,Fuimos felices de haber encontrado este lugar. Es una casa republicana restaurada con una gran calidad. Pero es que el restaurante es muy sencillo pero increiblemente delicioso. La atencion tambioen es muy discreta y amable. La comida es de campo pero de varias culturas.,"Contemporánea, Saludable"
Prudencia,Joya en el centro,Fecha de la visita: octubre de 2019,50,Espectacular restaurante en el centro de Bogotá. El menú cambia todas las semanas y cocinan con fuego de leña. El menú de 4 pasos cuesta 22 usd. La atención es excelente.,"Contemporánea, Saludable"
Prudencia,Bello lugar.,Fecha de la visita: septiembre de 2019,50,"Tienen un espacio hermoso que parece no tener cubierta, pues es en cristal. Una comida excelente que si bien su menu es reducido y prestablecido, es sin lugar a dudas una sorpresa a descrubir. Y gran cocteles tambien.","Contemporánea, Saludable"
Prudencia,Magnifico!,Fecha de la visita: octubre de 2019,50,"Es una esplendida casa historica de su barrio, y en la cual supieron desarrollar un buen proyecto. La carta es basada en comida de campo que la hacen con fuego en vivo. Gran equipo laboral, pues se nota que lo hacen con agrado. Chapeau!","Contemporánea, Saludable"
Prudencia,EXCELENTE FUSION,Fecha de la visita: septiembre de 2019,50,"La verdad que es muy grato encontrar en pleno centro de la ciudad, un restaurante con la calidad no sólo de la comida, sino de la atención de sus propietarios y en general, todo el personal que lo atiende.","Contemporánea, Saludable"
Prudencia,Excelente,Fecha de la visita: febrero de 2019,50,"Prudencia es un restaurante en la candelaria ubicado en una hermosa casa que tiene una carta deliciosa, hay dos opciones de menú, una vegetariana, todas son increibles","Contemporánea, Saludable"
Prudencia,Lindo lugar.,Fecha de la visita: octubre de 2019,50,Tienen un menú muy sencillo pero todo esta hecho en casa y es un lugar donde se nota que trabajan con pasión. Es un gran equipo! Comida campesina insuperable y recomiendo reservar.,"Contemporánea, Saludable"
Prudencia,Un sitio muy especial,Fecha de la visita: septiembre de 2019,50,Fue una experiencia espectacular. Desde la comida hasta la atención y el sitio. Vale la pena ir a comer sus platos que son variados pues constantemente cambian la carta. Es un sitio muy especial que vale la pena conocer.,"Contemporánea, Saludable"
Prudencia,Compartir en familia es un placer,Fecha de la visita: septiembre de 2019,50,"El sitio tiene una propuesta de valor centrada en una carta bien elaborada, con productos diferenciados, que hacen de la experiencia un momento diferente. El ambiente es agradable para compartir o celebrar con amigos o familia","Contemporánea, Saludable"
Prudencia,Excelente,Fecha de la visita: septiembre de 2019,50,Excelente restaurante situado en la zona turística de Bogotá Las carnes son muy buenas y el pan con la mantequilla es delicioso. Lo que no nos gusto fue el postre.,"Contemporánea, Saludable"
